tail,head,u,p_fail
0,15,10.0,0.8612583700952894
0,1,5.0,0.8827173564431615
1,0,5.0,0.8746018893414041
1,16,7.0,0.6964585785229075
1,2,5.0,0.7112606562663941
2,1,5.0,0.8660589229138337
2,17,6.0,0.6717425816872443
2,3,6.0,0.854451970063283
3,2,6.0,0.7983359329328416
3,18,5.0,0.7252848064154844
3,4,5.0,0.99
4,3,5.0,0.7207124086895621
4,19,6.0,0.7923668384597303
4,5,5.0,0.7007780690017561
5,4,5.0,0.7043448476863562
5,20,5.0,0.8570289459433887
5,6,5.0,0.790429077189415
6,5,5.0,0.7493218331239639
6,21,5.0,0.7728866652061858
6,7,5.0,0.9311235847904243
7,6,5.0,0.6384860409788526
7,22,5.0,0.8008078838226551
7,8,6.0,0.7510931628967817
8,7,5.0,0.6936160303788335
8,23,6.0,0.9335149638344536
8,9,5.0,0.99
9,8,6.0,0.7163815763006203
9,24,7.0,0.7623004144021498
9,10,7.0,0.9518743139765324
10,9,5.0,0.6420246075001008
10,25,5.0,0.8248383920254017
10,11,6.0,0.7837469718788007
11,10,6.0,0.6646665434070285
11,26,5.0,0.9124321140957404
11,12,6.0,0.8873874755416934
12,11,5.0,0.790483302075527
12,27,5.0,0.9026091402155902
12,13,6.0,0.7984233280532678
13,12,5.0,0.6877363949249364
13,28,6.0,0.99
13,14,6.0,0.6996834083066256
14,13,6.0,0.7505790423803873
14,29,6.0,0.8379443206063759
15,0,5.0,0.6948325461471423
15,30,6.0,0.7375817359799285
15,16,5.0,0.9437113554552342
16,1,7.0,0.8187650375459541
16,15,5.0,0.8557712367552143
16,31,5.0,0.9393062610772236
16,17,7.0,0.8024500599811223
17,2,5.0,0.9009698722749543
17,16,5.0,0.99
17,32,5.0,0.8903147621911254
17,18,6.0,0.8356660831744357
18,3,5.0,0.7387631828823765
18,17,5.0,0.6572049200087542
18,33,8.0,0.7285523955226335
18,19,6.0,0.99
19,4,5.0,0.6521822423109823
19,18,6.0,0.9650066530814384
19,34,5.0,0.9745498740790723
19,20,5.0,0.6720500828669389
20,5,5.0,0.7241452892234149
20,19,5.0,0.8373127807298655
20,35,5.0,0.926880709831732
20,21,5.0,0.7179623208687801
21,6,5.0,0.7949008124538404
21,20,6.0,0.888960326721616
21,36,6.0,0.7544572775757712
21,22,7.0,0.8112892766732531
22,7,5.0,0.792146855218224
22,21,5.0,0.9539809537643695
22,37,5.0,0.9333634024404047
22,23,6.0,0.9801560091898237
23,8,5.0,0.9354344094128333
23,22,5.0,0.7691272377801801
23,38,5.0,0.9716590688649506
23,24,6.0,0.8489398419922067
24,9,5.0,0.99
24,23,5.0,0.6017616200352293
24,39,7.0,0.865974493100906
24,25,5.0,0.8288183820486577
25,10,5.0,0.6768612666581741
25,24,8.0,0.7046598435029903
