tail,head,u,p_fail
0,1,5.0,0.8589755511167332
0,62,5.0,0.99
1,2,5.0,0.8612081815660826
1,45,5.0,0.919087627822408
2,3,5.0,0.9712849067139881
3,4,5.0,0.99
3,144,5.0,0.6422408954188618
4,5,5.0,0.9521839549122717
5,6,5.0,0.7820034228202082
5,165,5.0,0.8693030863319205
5,59,5.0,0.6501819388470865
5,26,5.0,0.677676029752015
6,7,5.0,0.7995429235960186
6,75,5.0,0.7564592715038447
7,8,5.0,0.6857866572064926
8,9,6.0,0.9823942794679154
9,10,5.0,0.8001668176846235
9,121,5.0,0.7976761116537069
10,11,5.0,0.6780699785314453
11,12,5.0,0.7633026939197749
11,101,6.0,0.9685630860453753
12,13,5.0,0.967623025921434
12,19,6.0,0.8039122283064822
13,14,5.0,0.6955581754375264
14,15,8.0,0.99
15,16,6.0,0.7622114352507574
15,2,6.0,0.7417877346094639
15,142,5.0,0.7146234615989788
16,17,5.0,0.99
16,51,5.0,0.8805964725497897
17,18,5.0,0.7175532062620499
17,60,5.0,0.7243171978682498
17,143,6.0,0.8450419945977172
18,19,5.0,0.6892152892898414
18,88,5.0,0.7218758500312362
18,124,7.0,0.99
19,20,5.0,0.8617545600193112
19,118,5.0,0.6601907729866285
20,21,6.0,0.8130392265427248
21,22,7.0,0.9020736639942604
22,23,5.0,0.6715635239978677
22,180,5.0,0.7213462535072712
22,112,6.0,0.8280320720275314
23,24,6.0,0.7289563938543151
23,52,8.0,0.7879829105148264
24,25,5.0,0.8436832131417374
24,43,5.0,0.9657920607815627
25,26,5.0,0.8043034682922731
25,0,6.0,0.9374598234952652
26,27,5.0,0.735779077698924
27,28,7.0,0.9023882156297387
27,53,5.0,0.8305818171490712
27,11,5.0,0.9502192366302101
27,44,5.0,0.9438363639580999
28,29,6.0,0.9029916136277545
28,131,6.0,0.6763365334194309
29,30,5.0,0.7554541366729285
29,159,5.0,0.7083999884043579
30,31,5.0,0.8350569270042665
30,190,6.0,0.9612922127649812
30,103,5.0,0.6567411023294762
31,32,5.0,0.8705333305563855
31,2,5.0,0.7708813422441144
32,33,6.0,0.7913422372490825
33,34,5.0,0.7423876937688525
33,65,5.0,0.964476811082913
34,35,6.0,0.8008094405691122
34,142,6.0,0.99
35,36,5.0,0.9224011082667133
36,37,6.0,0.99
37,38,5.0,0.8348776502209753
37,50,5.0,0.8029074694952794
38,39,5.0,0.7216875515907476
39,40,5.0,0.7523857908961172
39,36,5.0,0.5858336483333421
40,41,5.0,0.8376128941117589
40,83,5.0,0.6988233696696851
40,58,5.0,0.99
40,160,5.0,0.8923841949961775
41,42,5.0,0.8831806621632243
41,57,5.0,0.8522101083988318
42,43,6.0,0.99
42,192,6.0,0.854267463299867
43,44,5.0,0.7041686931009377
43,136,5.0,0.8804437271474689
43,101,5.0,0.8580461790074718
44,45,5.0,0.6650511593956416
44,121,5.0,0.9889530421382458
45,46,5.0,0.7191049471093041
45,51,5.0,0.7178311364263839
46,47,5.0,0.6306195089009101
46,24,5.0,0.9176119275677537
46,113,5.0,0.8549636147011977
47,48,5.0,0.9062205198436519
47,109,5.0,0.6459929974517922
47,22,5.0,0.8139049381836886
48,49,5.0,0.704241330843342
49,50,5.0,0.9126756422604979
49,35,5.0,0.8395146252596423
49,187,5.0,0.790372190156171
49,90,5.0,0.7055008911216216
49,18,5.0,0.7537727437520145
50,51,5.0,0.8413731645970208
51,52,5.0,0.99
51,90,6.0,0.7958809342866391
52,53,5.0,0.8868881256683951
53,54,5.0,0.7556706652706989
54,55,5.0,0.8171793374503669
54,142,5.0,0.81620169427254
55,56,7.0,0.99
55,133,5.0,0.6400091174033187
56,57,5.0,0.99
57,58,7.0,0.8986307923265198
58,59,5.0,0.8193558974665707
58,173,5.0,0.5906345219885831
59,60,5.0,0.6834872120943167
59,191,6.0,0.99
59,95,5.0,0.8235636657238219
59,159,5.0,0.7431796196655787
60,61,5.0,0.6816609967903586
60,57,5.0,0.6456275432191925
61,62,6.0,0.8368302531248182
61,121,6.0,0.9537038873880794
61,41,7.0,0.6344052047297539
62,63,5.0,0.800358098403553
63,64,5.0,0.7876117709412207
63,148,5.0,0.8119300822727737
63,128,6.0,0.7507430374302784
64,65,6.0,0.6704206534330461
65,66,5.0,0.8696156433431453
66,67,5.0,0.893849676589233
66,134,5.0,0.6295898370321327
67,68,6.0,0.7707154511382015
67,0,6.0,0.8194284777297045
67,94,5.0,0.8097893842884457
67,139,5.0,0.672099061481476
68,69,5.0,0.6968741775289972
68,107,5.0,0.9271710522433374
68,25,5.0,0.5723572830964033
69,70,5.0,0.9367472807217102
70,71,5.0,0.6906589068957816
71,72,5.0,0.8897094746974181
71,186,5.0,0.6374552673268489
71,103,6.0,0.7030641819243696
72,73,5.0,0.7837658213081543
73,74,5.0,0.6415327731443273
73,157,5.0,0.5609292729823254
73,82,6.0,0.5981394786933336
74,75,5.0,0.91873184258378
74,94,5.0,0.7797607908529018
75,76,5.0,0.9065784126578763
75,45,5.0,0.7700341806761798
76,77,5.0,0.7633198104645305
76,172,5.0,0.805619981408524
77,78,6.0,0.7505010693446957
77,125,5.0,0.8045870679779267
77,178,5.0,0.8473208168421635
78,79,6.0,0.7282427107763657
78,93,5.0,0.8916115234874333
79,80,5.0,0.99
79,158,8.0,0.8909651748009892
80,81,5.0,0.8727539292443437
80,178,6.0,0.8401445327806883
81,82,5.0,0.6367172964131242
81,36,5.0,0.6894663832023575
82,83,5.0,0.99
82,104,6.0,0.7328537984400681
82,53,5.0,0.7945545188586033
83,84,5.0,0.8319923445587964
83,112,5.0,0.7040755714968072
84,85,5.0,0.7197439925727163
85,86,5.0,0.8852560093706029
86,87,5.0,0.6414241208593974
87,88,5.0,0.7932870334355122
87,61,5.0,0.8161452930787748
88,89,5.0,0.8586860147400831
89,90,5.0,0.99
89,148,5.0,0.7451544567703877
89,71,6.0,0.7805558749707404
90,91,5.0,0.9033629388441855
90,162,6.0,0.8330389598400475
90,17,5.0,0.99
91,92,5.0,0.7574516799924145
91,130,5.0,0.8673652453241714
91,66,5.0,0.99
91,32,6.0,0.99
92,93,5.0,0.6926905757214661
93,94,6.0,0.8718095413573433
93,137,5.0,0.7203973754938396
93,148,6.0,0.7144509626438987
93,188,5.0,0.6923178875159125
94,95,5.0,0.8375993453099633
95,96,5.0,0.7229086398228814
96,97,5.0,0.7476962123542084
96,38,5.0,0.967801306793351
96,167,5.0,0.6064921524294875
96,165,6.0,0.8124052794557914
97,98,6.0,0.8017933974109804
97,194,5.0,0.8252043386042843
97,106,5.0,0.8078737638349237
98,99,5.0,0.7539142212307739
98,94,5.0,0.864930470358249
99,100,6.0,0.8291932003820301
100,101,5.0,0.7889523955559814
100,80,5.0,0.99
101,102,6.0,0.6630101296298125
102,103,5.0,0.8116583777295546
103,104,5.0,0.7741059720551648
103,14,5.0,0.8567372614654133
103,65,5.0,0.9104845280726833
104,105,5.0,0.99
104,190,5.0,0.8354736255968727
105,106,5.0,0.7416122474144671
105,189,5.0,0.6468989288660125
105,8,6.0,0.9625091493353483
105,77,5.0,0.8414661519077398
106,107,5.0,0.7659322962924734
107,108,6.0,0.7476851706028389
107,110,5.0,0.7915313480852245
108,109,5.0,0.8191816287220797
109,110,5.0,0.8618680748615728
110,111,5.0,0.7858770727066212
111,112,5.0,0.8798881990594503
111,10,6.0,0.99
111,39,5.0,0.6281555338059122
112,113,5.0,0.9524389397776485
112,197,5.0,0.7024410452105927
113,114,6.0,0.7735538198153277
114,115,5.0,0.892989143047735
114,63,5.0,0.7202919895577415
114,28,6.0,0.8488335803962687
115,116,5.0,0.6846245877619608
116,117,5.0,0.8029166895101487
116,172,5.0,0.79615287205267
116,109,5.0,0.8373860553733666
117,118,5.0,0.7005952738560749
117,60,7.0,0.8021414925160001
118,119,6.0,0.8774125208965075
118,103,6.0,0.9529671221157671
119,120,5.0,0.6938823993416922
120,121,5.0,0.6703587331185346
121,122,5.0,0.8110424965807699
122,123,5.0,0.8042510863896255
122,21,5.0,0.8397691045557695
123,124,5.0,0.9615835454600927
124,125,5.0,0.8250123529546681
124,67,5.0,0.6298164083912704
125,126,5.0,0.641283417262906
126,127,6.0,0.7669413977687783
127,128,5.0,0.9816326393709309
127,79,7.0,0.7578765500008944
128,129,5.0,0.6444678472083973
128,116,7.0,0.7970529271979413
128,168,5.0,0.8952962449807136
129,130,5.0,0.99
130,131,5.0,0.6277252638720093
131,132,7.0,0.9048005185369897
132,133,5.0,0.812515471929139
132,171,5.0,0.7062797351820016
132,121,5.0,0.7657970457286009
132,19,6.0,0.7957311414970625
133,134,5.0,0.9540750724352112
134,135,6.0,0.7296483273285509
135,136,5.0,0.6894554019869569
136,137,5.0,0.750783601042684
137,138,6.0,0.8725762229890961
138,139,5.0,0.7787276118276412
139,140,5.0,0.7276920976710572
140,141,5.0,0.7204362802630855
141,142,5.0,0.838456465449389
141,9,5.0,0.8383077152422829
142,143,7.0,0.7076109732911313
143,144,5.0,0.883347662158357
143,147,6.0,0.9071397690808101
143,63,5.0,0.9872415050658513
143,198,6.0,0.9346676769382962
144,145,5.0,0.8830509752999455
144,30,6.0,0.6652912595120264
145,146,5.0,0.99
145,121,5.0,0.6474611805493229
146,147,5.0,0.8182526015722019
146,73,5.0,0.8844438142774624
146,100,6.0,0.6868582094103508
146,4,6.0,0.691720762596713
146,0,5.0,0.6625209153477194
147,148,5.0,0.7339997736064978
147,92,5.0,0.685015832724361
147,160,6.0,0.8151348296183228
148,149,6.0,0.6603735422883443
149,150,5.0,0.99
149,144,5.0,0.670839213387701
149,79,7.0,0.7224383673244967
149,102,6.0,0.9127797771769338
150,151,5.0,0.9332866112021032
150,113,5.0,0.5677355716612095
150,67,6.0,0.7141718388794153
151,152,6.0,0.7733774307710855
151,138,5.0,0.6997630185422313
152,153,5.0,0.99
153,154,5.0,0.8702232311227519
153,11,5.0,0.99
154,155,5.0,0.7102217813876172
154,194,7.0,0.7867623711394738
155,156,5.0,0.7958431428791166
156,157,6.0,0.7122862218849773
157,158,5.0,0.7993340059773497
158,159,5.0,0.6248174052986606
158,20,6.0,0.7882739808614884
158,6,6.0,0.6568669975202344
159,160,5.0,0.5615189248680531
159,139,5.0,0.8890006654694181
159,57,5.0,0.9588557908681488
160,161,5.0,0.8044166105390125
160,60,5.0,0.8696503112833295
160,117,5.0,0.6477924953037868
161,162,5.0,0.764856994105291
162,163,7.0,0.8085973341688555
162,81,6.0,0.768285658758591
162,137,5.0,0.8237552451878396
163,164,5.0,0.643497814587187
163,44,5.0,0.7279762859727459
164,165,5.0,0.6757658644478876
164,88,6.0,0.7384387591723686
164,124,5.0,0.7244627130281842
165,166,6.0,0.820624340598477
166,167,5.0,0.7235897484015461
166,40,5.0,0.5472216659980595
166,184,5.0,0.9716815366681724
166,192,7.0,0.773759503620616
167,168,5.0,0.85493704627191
167,54,5.0,0.7867792426447058
167,27,5.0,0.8768550434401479
168,169,5.0,0.6903151745467451
168,49,5.0,0.6635927214348917
168,148,5.0,0.99
169,170,6.0,0.9222415455710137
169,165,7.0,0.5990544553624673
169,135,7.0,0.5933496054889383
170,171,6.0,0.842411816444043
171,172,5.0,0.8964253393365962
171,179,5.0,0.7368608474350578
171,89,5.0,0.6803332431824821
172,173,5.0,0.99
172,98,6.0,0.8567056416326642
172,124,5.0,0.8097922696743662
172,50,5.0,0.8688249457029308
172,15,5.0,0.5727030237972566
173,174,5.0,0.8098436671813597
173,150,5.0,0.6315654751824412
173,160,5.0,0.9086337251929044
174,175,5.0,0.6793032997720541
174,64,5.0,0.6407527235854037
175,176,6.0,0.99
175,19,5.0,0.9620791270775495
176,177,6.0,0.8377905820660612
176,108,5.0,0.7083056621525791
176,89,5.0,0.99
177,178,5.0,0.99
177,90,5.0,0.8672156852794842
177,101,5.0,0.9372921646592935
178,179,7.0,0.8978221594212233
178,197,6.0,0.6281218514340194
178,153,6.0,0.6555748216785361
179,180,6.0,0.9608997208373232
180,181,5.0,0.948470858319018
181,182,5.0,0.8037285040087282
181,130,7.0,0.6645198440577382
182,183,5.0,0.7947005935653753
182,34,5.0,0.99
183,184,5.0,0.8727921579626456
184,185,6.0,0.8538067327045241
184,77,5.0,0.9658389170192813
185,186,5.0,0.8253300123446575
186,187,8.0,0.9095971059775945
187,188,5.0,0.5949202777707021
187,29,5.0,0.8546406295823408
188,189,5.0,0.6325291808805737
189,190,5.0,0.7522652509086338
189,154,5.0,0.8718829946502927
190,191,5.0,0.9060625339252925
190,134,5.0,0.7899133450096127
191,192,5.0,0.6451469191301836
192,193,5.0,0.7969789397350564
192,139,5.0,0.8353416536052203
193,194,5.0,0.8640278702339924
193,169,5.0,0.7676665247333272
194,195,5.0,0.8661267720599863
194,63,6.0,0.7309783085568958
194,135,6.0,0.8088223866532671
194,163,5.0,0.85393491037577
195,196,5.0,0.99
195,194,5.0,0.871020368239983
196,197,5.0,0.8246247857418759
196,193,5.0,0.7340415826664441
196,22,6.0,0.9214809893554814
197,198,5.0,0.7931907343882982
197,60,6.0,0.8127651683223661
198,199,10.0,0.75031633597916
198,108,5.0,0.7350513870723785
199,56,5.0,0.99
