tail,head,u,p_fail
1,28,5.0,0.4015187745427061
1,38,6.0,0.4630085995719186
1,8,5.0,0.5865456162331361
2,30,6.0,0.4633064424713064
2,26,5.0,0.4807136398272395
2,25,6.0,0.5113882585926062
3,8,5.0,0.41863513534304064
3,1,5.0,0.5115269483964885
4,6,5.0,0.45738123225278493
4,22,5.0,0.4487521217325549
4,31,5.0,0.38256692950742566
4,12,8.0,0.4497097265272461
4,34,6.0,0.5772721073452489
5,39,5.0,0.5924848232562798
5,38,7.0,0.4729833653481531
6,49,5.0,0.49963392219106145
8,29,5.0,0.4641473424451198
9,17,6.0,0.4193274742095571
9,25,6.0,0.3776193303736022
10,37,5.0,0.6385580457714631
10,40,5.0,0.42669358013560343
10,28,7.0,0.5106982861790373
11,45,6.0,0.6244692512826047
11,44,5.0,0.46753617826102595
11,33,6.0,0.48326612371936273
12,36,6.0,0.5157026404133778
12,34,5.0,0.46999000048601897
12,16,5.0,0.5149934319491664
12,46,7.0,0.4717909575149232
12,33,5.0,0.5882058576834749
12,27,6.0,0.5343415028328917
12,10,7.0,0.41609083658284685
13,2,6.0,0.40719077737466036
13,4,9.0,0.45158144312899773
13,16,6.0,0.4539296339056654
13,1,5.0,0.44541059703951824
14,31,5.0,0.5718948968821888
14,32,8.0,0.4469008855040016
14,0,5.0,0.46511006387333037
15,44,5.0,0.5088528034627599
15,25,5.0,0.3699687512042912
17,24,6.0,0.5316090336146025
19,1,6.0,0.5437107032822796
20,35,5.0,0.6148055533560884
20,6,5.0,0.43050463373696657
20,26,6.0,0.46530547255661897
21,20,7.0,0.5149398570301638
22,6,6.0,0.4717327033541048
22,21,5.0,0.40134213805390184
23,18,5.0,0.5717698699843272
23,39,5.0,0.4785685795080872
23,28,5.0,0.5261944223272593
23,9,5.0,0.4253126555512755
25,28,6.0,0.576588733285974
25,31,5.0,0.47419263747461626
25,32,6.0,0.4486991173201368
26,42,5.0,0.5623698793619115
26,24,5.0,0.5897873360405674
28,7,5.0,0.43457486760591063
29,48,5.0,0.5801626337339482
29,2,5.0,0.6371127273295887
31,7,5.0,0.5199405753831461
32,17,5.0,0.40480641826583225
32,41,5.0,0.544482340082648
33,10,6.0,0.5866149152400459
33,43,5.0,0.42929205463882375
33,23,5.0,0.6424926357354409
34,36,6.0,0.48577426579609717
34,49,6.0,0.4914294229307522
34,1,5.0,0.589607139597694
36,49,5.0,0.5163002164945126
36,11,9.0,0.6033768445589526
36,18,6.0,0.4995838341602337
37,6,6.0,0.5305071297233097
37,38,5.0,0.5022326173501984
37,19,5.0,0.5187379818588022
38,25,6.0,0.5462327872892219
40,31,5.0,0.538129712879266
40,0,6.0,0.4783679728949102
40,29,5.0,0.5759943939360425
41,31,7.0,0.49405868758695753
42,30,6.0,0.5993759220041041
42,9,5.0,0.549080289397471
43,7,5.0,0.49394593895362254
44,8,5.0,0.4485666578796922
44,48,5.0,0.5037267397206752
44,25,5.0,0.6162608652420359
45,19,5.0,0.5151529152849966
45,5,5.0,0.5791695117940918
45,10,5.0,0.49425423777901223
45,3,5.0,0.47761346357424506
46,7,5.0,0.45098591043602704
46,16,6.0,0.37416907789202275
47,25,6.0,0.5245520509401759
47,8,5.0,0.5032302838075852
47,21,5.0,0.49662328467437233
48,35,6.0,0.5624264839682964
48,42,5.0,0.4316514842734915
49,32,5.0,0.6451313741745845
49,2,5.0,0.4016964450914883
