tail,head,u,p_fail
0,1,5.0,0.47282531759405144
0,14,6.0,0.5169022784647879
0,9,7.0,0.4923129148369691
1,2,6.0,0.41435217041995936
2,3,5.0,0.41514700284855316
2,82,6.0,0.5310409256569409
3,4,6.0,0.5154867319421569
3,82,5.0,0.5487928304362831
3,19,5.0,0.48688222560953615
3,37,5.0,0.49046982187203825
4,5,5.0,0.5674424226984255
4,24,6.0,0.47055396038534997
4,50,5.0,0.5725829696016091
5,6,7.0,0.41425902413985355
5,16,5.0,0.5206853400390183
5,17,5.0,0.44157795967799346
6,7,6.0,0.4055649317187601
6,26,5.0,0.5269090507558569
6,92,6.0,0.450950510172339
6,53,5.0,0.3932910762105292
6,27,6.0,0.5454762726127851
7,8,7.0,0.5525609078687442
8,9,6.0,0.545182643545917
8,68,5.0,0.5226476033981606
9,10,5.0,0.4449505883368397
9,39,5.0,0.4622467449612054
9,84,5.0,0.6088564723887828
10,11,5.0,0.5160156342238187
10,29,6.0,0.5024162050698421
11,12,5.0,0.6144296922829925
11,65,7.0,0.5285926511864228
11,94,5.0,0.5625026901106416
11,60,6.0,0.3519631606494629
12,13,6.0,0.42172034693435334
12,68,5.0,0.361648461581967
13,14,5.0,0.48308322561500233
13,40,5.0,0.5281810443070646
13,82,5.0,0.4181163081130844
13,49,5.0,0.5218358816570674
13,30,6.0,0.5279720483105304
13,46,5.0,0.438582448554529
13,43,5.0,0.5029838224595634
14,15,5.0,0.37861355874980457
15,16,5.0,0.5437745139514728
15,84,5.0,0.5170306686174905
16,17,5.0,0.5369855748095747
16,64,5.0,0.48442677295973685
16,65,5.0,0.44832949544830947
16,8,6.0,0.41415915405464104
17,18,5.0,0.5508607371841078
17,54,5.0,0.5438045968167071
17,77,5.0,0.453548165479471
18,19,5.0,0.4854794213777166
18,53,5.0,0.5372104263363657
19,20,5.0,0.5861965458136231
19,48,6.0,0.44826963990023455
20,21,5.0,0.5745140062269554
20,27,5.0,0.48893221440374507
20,93,5.0,0.40113041077073386
20,79,5.0,0.4561851402631969
21,22,6.0,0.4068540336387017
21,16,5.0,0.41171401757995174
21,15,5.0,0.40571774484474205
22,23,5.0,0.5894641782114295
22,34,5.0,0.5392798800952256
22,97,5.0,0.4409929112970992
23,24,5.0,0.4774190474488421
23,67,5.0,0.38956660730241544
23,28,5.0,0.5045577264852612
23,57,5.0,0.5225327877190417
23,26,5.0,0.7110367097497918
23,82,5.0,0.5684291052244499
24,25,5.0,0.37135564443129365
24,48,6.0,0.4955819876741971
24,64,5.0,0.42268898471604105
24,61,5.0,0.540386945626446
25,26,6.0,0.3934233577535912
25,84,5.0,0.5510861040718905
25,73,6.0,0.5186116964167415
26,27,5.0,0.5101474893144478
26,2,6.0,0.4679372669289828
26,37,5.0,0.3670259974439757
27,28,5.0,0.5976684727542358
27,55,5.0,0.732542591330062
27,49,5.0,0.525427301676786
28,29,5.0,0.5083402483822779
28,23,6.0,0.4389054004094034
29,30,5.0,0.4382897729897816
29,6,5.0,0.5020329117159028
29,64,5.0,0.6710639569952576
